,p.val,fc,log2fc,auc.mat,log10p,species,significant
Veillonella.atypica..r_01941.,2.79E-06,2.551116759,1.351128929,0.750526316,5.554223817,Veillonella.atypica..r_01941.,p < 0.01
Romboutsia.timonensis..r_09389.,5.19E-06,-2.746384034,-1.457533375,0.252807018,5.284771092,Romboutsia.timonensis..r_09389.,p < 0.01
Faecalibacterium.prausnitzii..r_06108.,0.000165006,-1.823989318,-0.86709728,0.289824561,3.782501527,Faecalibacterium.prausnitzii..r_06108.,p < 0.01
Clostridium.species...m_12324.,0.000166802,-1.811349809,-0.857065187,0.338421053,3.777798267,Clostridium.species...m_12324.,p < 0.01
Faecalibacterium.prausnitzii..r_06110.,0.000167426,-1.771661564,-0.825103036,0.289122807,3.776176508,Faecalibacterium.prausnitzii..r_06110.,p < 0.01
Alloscardovia.omnicolens..r_02114.,0.00017652,1.243058427,0.313894109,0.646315789,3.753205168,Alloscardovia.omnicolens..r_02114.,p < 0.01
Bifidobacterium.bifidum..r_03116.,0.000200902,-1.826800307,-0.869318937,0.352280702,3.69701657,Bifidobacterium.bifidum..r_03116.,p < 0.01
Fusobacterium.hwasookii.nucleatum..r_01004.,0.000262673,1.179708024,0.238429839,0.639649123,3.580585304,Fusobacterium.hwasookii.nucleatum..r_01004.,p < 0.01
Bacteroides.coprocola..r_11279.,0.000349658,-2.235907039,-1.160860207,0.332280702,3.456356114,Bacteroides.coprocola..r_11279.,p < 0.01
Veillonella.species...m_13135.,0.000705365,1.714980106,0.778191841,0.668947368,3.151586126,Veillonella.species...m_13135.,p < 0.01
Clostridium.sp..CAG.217..m_12270.,0.000763898,-2.089336229,-1.063044678,0.340701754,3.116964692,Clostridium.sp..CAG.217..m_12270.,p < 0.01
Rikenellaceae.sp...r_03593.,0.000990529,-1.659087439,-0.730389923,0.351578947,3.004132756,Rikenellaceae.sp...r_03593.,p < 0.01
Megasphaera.micronuciformis..r_11823.,0.00111546,1.420203807,0.506097979,0.645263158,2.952545922,Megasphaera.micronuciformis..r_11823.,p < 0.01
Oscillibacter.sp...r_03341.,0.001157608,-1.281735958,-0.358099092,0.31754386,2.936438392,Oscillibacter.sp...r_03341.,p < 0.01
Clostridiales.sp...r_05138.,0.001452461,-0.91462822,0.128742661,0.385964912,2.837895666,Clostridiales.sp...r_05138.,p < 0.01
Veillonella.parvula..r_01938.,0.001649133,1.658576263,0.72994535,0.673333333,2.782744399,Veillonella.parvula..r_01938.,p < 0.01
X.Eubacterium..rectale..r_03657.,0.001751707,-1.462166626,-0.548107727,0.324385965,2.756538426,X.Eubacterium..rectale..r_03657.,p < 0.01
X.Clostridium..leptum..r_03688.,0.002057151,-1.663285091,-0.734035471,0.331578947,2.686733883,X.Clostridium..leptum..r_03688.,p < 0.01
Blautia.obeum.wexlerae..r_02154.,0.002148578,-0.329082363,1.603479387,0.327368421,2.667848824,Blautia.obeum.wexlerae..r_02154.,p < 0.01
Atopobium.parvulum..r_02949.,0.002290788,1.199038853,0.261878408,0.641754386,2.640015158,Atopobium.parvulum..r_02949.,p < 0.01
Fusobacterium.periodonticum..r_00999.,0.002835677,1.063646754,0.089019099,0.609473684,2.547343308,Fusobacterium.periodonticum..r_00999.,p < 0.01
Dialister.pneumosintes..r_03630.,0.002843898,0.794362598,-0.332130398,0.604210526,2.546085964,Dialister.pneumosintes..r_03630.,p < 0.01
Fusobacterium.nucleatum.subsp..vincentii..r_01002.,0.002864948,0.582094621,-0.780674408,0.595263158,2.5428833,Fusobacterium.nucleatum.subsp..vincentii..r_01002.,p < 0.01
Faecalibacterium.species...m_12325.,0.00294782,-1.283224008,-0.359773039,0.336842105,2.530499052,Faecalibacterium.species...m_12325.,p < 0.01
Bifidobacterium.ruminantium..r_02702.,0.003154992,-1.392731262,-0.477916906,0.368421053,2.501001719,Bifidobacterium.ruminantium..r_02702.,p < 0.01
Veillonella.dispar..r_01940.,0.003158181,1.419063266,0.50493891,0.654385965,2.500563038,Veillonella.dispar..r_01940.,p < 0.01
Stomatobaculum.longum..m_12605.,0.003591253,0.299098871,-1.741305631,0.578947368,2.444754051,Stomatobaculum.longum..m_12605.,p < 0.01
Bacteroides.sp..CAG.144..m_12596.,0.0037175,-1.581216078,-0.66103453,0.360350877,2.429749018,Bacteroides.sp..CAG.144..m_12596.,p < 0.01
Clostridium.sp...r_03604.,0.003744196,-0.265811218,1.911526105,0.43,2.426641368,Clostridium.sp...r_03604.,p < 0.01
Veillonella.rogosae..r_01939.,0.003805014,1.407534234,0.493170012,0.639298246,2.419643784,Veillonella.rogosae..r_01939.,p < 0.01
Faecalibacterium.species...m_12403.,0.003844235,-1.534160198,-0.617449138,0.349473684,2.415190081,Faecalibacterium.species...m_12403.,p < 0.01
Merdibacter.massiliensis..m_12627.,0.003941077,-0.763448086,0.389398038,0.407894737,2.404385121,Merdibacter.massiliensis..m_12627.,p < 0.01
Actinomyces.massiliensis..r_02522.,0.006303525,0.171993108,-2.539577336,0.570175439,2.2004165,Actinomyces.massiliensis..r_02522.,p < 0.01
Lachnoanaerobaculum.saburreum..r_06321.,0.006303525,0.189848512,-2.397079403,0.570175439,2.2004165,Lachnoanaerobaculum.saburreum..r_06321.,p < 0.01
Streptococcus.oralis..r_00288.,0.006345933,1.214893836,0.280830249,0.617192982,2.197504508,Streptococcus.oralis..r_00288.,p < 0.01
Granulicatella.adiacens..r_04782.,0.006356056,1.076242286,0.106002897,0.610350877,2.196812318,Granulicatella.adiacens..r_04782.,p < 0.01
X.Eubacterium..hallii..r_03632.,0.006801471,-0.053625793,4.220929125,0.348596491,2.167397142,X.Eubacterium..hallii..r_03632.,p < 0.01
Ruminococcaceae.species...m_12259.,0.006881938,-1.560017291,-0.64156202,0.35,2.162289274,Ruminococcaceae.species...m_12259.,p < 0.01
Clostridiales.species...m_12351.,0.007177208,-0.966333923,0.049406287,0.403684211,2.14404444,Clostridiales.species...m_12351.,p < 0.01
Absiella.dolichum..r_03694.,0.007584706,-0.224445421,2.155563429,0.44,2.120061242,Absiella.dolichum..r_03694.,p < 0.01
Firmicutes.sp...r_03641.,0.009321259,1.592887014,0.671643938,0.630526316,2.030525414,Firmicutes.sp...r_03641.,p < 0.01
Bacteroides.finegoldii..r_03474.,0.009476693,1.704278896,0.769161444,0.627719298,2.023343173,Bacteroides.finegoldii..r_03474.,p < 0.01
Collinsella.aerofaciens..r_03626.,0.009617333,-0.462209955,1.113379764,0.354561404,2.01694535,Collinsella.aerofaciens..r_03626.,p < 0.01
Coprococcus.comes..r_03690.,0.010086627,-0.844658539,0.243559858,0.355789474,1.996254048,Coprococcus.comes..r_03690.,not sig
Aggregatibacter.sp..oral.taxon.458..r_04050.,0.011020744,0.168349836,-2.570465779,0.561403509,1.957789091,Aggregatibacter.sp..oral.taxon.458..r_04050.,not sig
Fusobacterium.nucleatum.subsp..nucleatum..r_01003.,0.011020744,0.180291164,-2.471599403,0.561403509,1.957789091,Fusobacterium.nucleatum.subsp..nucleatum..r_01003.,not sig
Leptotrichia.sp..oral.taxon.215..r_04051.,0.011020744,0.171993108,-2.539577336,0.561403509,1.957789091,Leptotrichia.sp..oral.taxon.215..r_04051.,not sig
Leptotrichia.wadei..r_02302.,0.011020744,0.185931204,-2.427159181,0.561403509,1.957789091,Leptotrichia.wadei..r_02302.,not sig
Selenomonas.sp...r_06402.,0.011020744,0.174548344,-2.518301425,0.561403509,1.957789091,Selenomonas.sp...r_06402.,not sig
Slackia.exigua..r_01958.,0.011020744,0.173818224,-2.524348747,0.561403509,1.957789091,Slackia.exigua..r_01958.,not sig
Clostridium.species...m_13210.,0.01180061,-1.080879945,-0.11220629,0.396491228,1.928095525,Clostridium.species...m_13210.,not sig
Bifidobacterium.adolescentis..r_02703.,0.012133505,-1.306255136,-0.38543671,0.37122807,1.916013721,Bifidobacterium.adolescentis..r_02703.,not sig
Parabacteroides.merdae..r_05401.,0.012494257,-0.837565069,0.255726819,0.359649123,1.903289564,Parabacteroides.merdae..r_05401.,not sig
Fusobacterium.nucleatum.subsp..animalis..r_01001.,0.01262079,1.027186129,0.038697626,0.597368421,1.898913457,Fusobacterium.nucleatum.subsp..animalis..r_01001.,not sig
Dorea.sp..CAG.317..r_07668.,0.012694493,-1.063334299,-0.088595234,0.395964912,1.896384623,Dorea.sp..CAG.317..r_07668.,not sig
Blautia.hansenii..r_03670.,0.015333619,-0.022287916,5.487594461,0.45,1.814355333,Blautia.hansenii..r_03670.,not sig
Ruminococcaceae.species...m_12898.,0.016804766,-1.190886809,-0.252036296,0.382280702,1.774567535,Ruminococcaceae.species...m_12898.,not sig
Holdemania.sp..Marseille.P2844..r_05920.,0.017251594,-0.893002467,0.163263933,0.412631579,1.763170764,Holdemania.sp..Marseille.P2844..r_05920.,not sig
Aggregatibacter.segnis..r_04049.,0.01922393,0.070433794,-3.827588399,0.552631579,1.716157832,Aggregatibacter.segnis..r_04049.,not sig
Clostridiales.species...m_12777.,0.01922393,0.068358966,-3.870725618,0.552631579,1.716157832,Clostridiales.species...m_12777.,not sig
Clostridium.species...m_12478.,0.01922393,0.069165159,-3.853810709,0.552631579,1.716157832,Clostridium.species...m_12478.,not sig
Oribacterium.asaccharolyticum..r_06446.,0.01922393,0.066123118,-3.918701432,0.552631579,1.716157832,Oribacterium.asaccharolyticum..r_06446.,not sig
Prevotella.species...m_12780.,0.01922393,0.128287689,-2.96254536,0.552631579,1.716157832,Prevotella.species...m_12780.,not sig
Selenomonas.flueggei..r_06403.,0.01922393,0.076543426,-3.707577722,0.552631579,1.716157832,Selenomonas.flueggei..r_06403.,not sig
Shuttleworthia.satelles..r_06398.,0.01922393,0.068358966,-3.870725618,0.552631579,1.716157832,Shuttleworthia.satelles..r_06398.,not sig
Streptococcus.infantis..r_00308.,0.01922393,0.066123118,-3.918701432,0.552631579,1.716157832,Streptococcus.infantis..r_00308.,not sig
Bacteroides.coprophilus..r_04094.,0.019955792,-0.657260501,0.605462808,0.425614035,1.699931034,Bacteroides.coprophilus..r_04094.,not sig
Clostridiales.species...m_13012.,0.021206095,-1.038815904,-0.054940007,0.405263158,1.673539294,Clostridiales.species...m_13012.,not sig
Paraprevotella.clara..r_03698.,0.022120652,-1.423346653,-0.50928707,0.379298246,1.655202077,Paraprevotella.clara..r_03698.,not sig
Bacteroides.plebeius..r_05069.,0.02253639,-1.41346707,-0.499238272,0.382280702,1.647115658,Bacteroides.plebeius..r_05069.,not sig
Anaerostipes.hadrus..r_00856.,0.023763036,-0.831904681,0.26550986,0.373684211,1.624098075,Anaerostipes.hadrus..r_00856.,not sig
Bifidobacterium.longum..r_01099.,0.024575108,-1.165378183,-0.220798207,0.374210526,1.609504563,Bifidobacterium.longum..r_01099.,not sig
Streptococcus.parasanguinis..r_00312.,0.025062484,0.551729851,-0.857966056,0.625964912,1.600975892,Streptococcus.parasanguinis..r_00312.,not sig
Bifidobacterium.dentium..r_02698.,0.025533109,1.172744927,0.22988926,0.616842105,1.592896309,Bifidobacterium.dentium..r_02698.,not sig
Clostridiaceae.species...m_12983.,0.025870569,-0.578970653,0.788437873,0.42877193,1.587194021,Clostridiaceae.species...m_12983.,not sig
Peptostreptococcus.stomatis..r_03281.,0.025872387,0.370731185,-1.431554618,0.56877193,1.587163497,Peptostreptococcus.stomatis..r_03281.,not sig
Intestinibacter.bartlettii..r_03687.,0.026479707,-1.222583112,-0.289932544,0.378421053,1.577086825,Intestinibacter.bartlettii..r_03687.,not sig
Prevotella.denticola..r_02391.,0.02655161,0.181704028,-2.460337696,0.560175439,1.575909138,Prevotella.denticola..r_02391.,not sig
Bittarella.massiliensis..r_04646.,0.026608705,-0.924061358,0.113939445,0.403508772,1.574976263,Bittarella.massiliensis..r_04646.,not sig
Atopobium.rimae..r_04230.,0.026858154,0.544301584,-0.87752186,0.575263158,1.570923836,Atopobium.rimae..r_04230.,not sig
uncultured.Eubacterium.sp...m_13063.,0.027187672,-0.904464196,0.144864701,0.418947368,1.565627977,uncultured.Eubacterium.sp...m_13063.,not sig
Clostridium.sp..CAG.138..m_12233.,0.028474116,-1.304713275,-0.383732794,0.393684211,1.545549755,Clostridium.sp..CAG.138..m_12233.,not sig
Firmicutes.species...m_13055.,0.029069572,0.556978807,-0.844305662,0.574210526,1.536561369,Firmicutes.species...m_13055.,not sig
Bacteroidales.species...m_12636.,0.031060218,0,0,0.46,1.507795503,Bacteroidales.species...m_12636.,not sig
Blautia.sp..CAG.257..r_07602.,0.031060218,0,0,0.46,1.507795503,Blautia.sp..CAG.257..r_07602.,not sig
Clostridiales.species...m_14016.,0.031060218,0,0,0.46,1.507795503,Clostridiales.species...m_14016.,not sig
Clostridium.sp..27_14..r_10412.,0.031060218,0,0,0.46,1.507795503,Clostridium.sp..27_14..r_10412.,not sig
Clostridium.sp..CAG.798..r_07653.,0.031060218,0,0,0.46,1.507795503,Clostridium.sp..CAG.798..r_07653.,not sig
Clostridium.species...m_12641.,0.031060218,0,0,0.46,1.507795503,Clostridium.species...m_12641.,not sig
Coprobacillus.cateniformis..r_03929.,0.031370197,-1.139705039,-0.188660496,0.400877193,1.50348276,Coprobacillus.cateniformis..r_03929.,not sig
Streptococcus.infantis..r_00306.,0.03260242,0.405231383,-1.303182187,0.565964912,1.486750161,Streptococcus.infantis..r_00306.,not sig
Klebsiella.michiganensis.oxytoca..r_00086.,0.032788939,0.926061528,-0.110820045,0.581754386,1.48427264,Klebsiella.michiganensis.oxytoca..r_00086.,not sig
Atopobium.species...m_14177.,0.033534904,0,0,0.543859649,1.474502936,Atopobium.species...m_14177.,not sig
Bacteria.species...m_12847.,0.033534904,0,0,0.543859649,1.474502936,Bacteria.species...m_12847.,not sig
Campylobacter.concisus..r_03523.,0.033534904,0,0,0.543859649,1.474502936,Campylobacter.concisus..r_03523.,not sig
Clostridia.species...m_13609.,0.033534904,0,0,0.543859649,1.474502936,Clostridia.species...m_13609.,not sig
Clostridiales.species...m_12855.,0.033534904,0,0,0.543859649,1.474502936,Clostridiales.species...m_12855.,not sig
Hafnia.paralvei.alvei..r_00708.,0.033534904,0,0,0.543859649,1.474502936,Hafnia.paralvei.alvei..r_00708.,not sig
Neisseria.sicca.macacae..r_01495.,0.033534904,0,0,0.543859649,1.474502936,Neisseria.sicca.macacae..r_01495.,not sig
